timestamp,color,disparity
1766059925.042225,color/img_1736.png,disparity/img_1736.png
1766059925.185082,color/img_1737.png,disparity/img_1737.png
1766059925.327940,color/img_1738.png,disparity/img_1738.png
1766059925.470796,color/img_1739.png,disparity/img_1739.png
1766059925.613657,color/img_1740.png,disparity/img_1740.png
1766059925.756511,color/img_1741.png,disparity/img_1741.png
1766059925.899368,color/img_1742.png,disparity/img_1742.png
1766059926.042227,color/img_1743.png,disparity/img_1743.png
1766059926.185083,color/img_1744.png,disparity/img_1744.png
1766059926.327942,color/img_1745.png,disparity/img_1745.png
1766059926.470798,color/img_1746.png,disparity/img_1746.png
1766059926.613655,color/img_1747.png,disparity/img_1747.png
1766059926.756513,color/img_1748.png,disparity/img_1748.png
1766059926.899370,color/img_1749.png,disparity/img_1749.png
1766059927.042227,color/img_1750.png,disparity/img_1750.png
1766059927.185084,color/img_1751.png,disparity/img_1751.png
1766059927.327942,color/img_1752.png,disparity/img_1752.png
1766059927.470800,color/img_1753.png,disparity/img_1753.png
1766059927.613656,color/img_1754.png,disparity/img_1754.png
1766059927.756514,color/img_1755.png,disparity/img_1755.png
1766059927.899371,color/img_1756.png,disparity/img_1756.png
1766059928.042229,color/img_1757.png,disparity/img_1757.png
1766059928.185087,color/img_1758.png,disparity/img_1758.png
1766059928.327943,color/img_1759.png,disparity/img_1759.png
1766059928.470800,color/img_1760.png,disparity/img_1760.png
1766059928.613658,color/img_1761.png,disparity/img_1761.png
1766059928.756515,color/img_1762.png,disparity/img_1762.png
1766059928.899373,color/img_1763.png,disparity/img_1763.png
1766059929.042231,color/img_1764.png,disparity/img_1764.png
1766059929.185088,color/img_1765.png,disparity/img_1765.png
1766059929.327945,color/img_1766.png,disparity/img_1766.png
1766059929.470802,color/img_1767.png,disparity/img_1767.png
1766059929.613660,color/img_1768.png,disparity/img_1768.png
1766059929.756517,color/img_1769.png,disparity/img_1769.png
1766059929.899374,color/img_1770.png,disparity/img_1770.png
1766059930.042231,color/img_1771.png,disparity/img_1771.png
1766059930.185089,color/img_1772.png,disparity/img_1772.png
1766059930.327946,color/img_1773.png,disparity/img_1773.png
1766059930.470804,color/img_1774.png,disparity/img_1774.png
1766059930.613660,color/img_1775.png,disparity/img_1775.png
1766059930.756518,color/img_1776.png,disparity/img_1776.png
1766059930.899376,color/img_1777.png,disparity/img_1777.png
1766059931.042233,color/img_1778.png,disparity/img_1778.png
1766059931.185090,color/img_1779.png,disparity/img_1779.png
1766059931.327947,color/img_1780.png,disparity/img_1780.png
1766059931.470804,color/img_1781.png,disparity/img_1781.png
1766059931.613662,color/img_1782.png,disparity/img_1782.png
1766059931.756520,color/img_1783.png,disparity/img_1783.png
1766059931.899377,color/img_1784.png,disparity/img_1784.png
1766059932.042235,color/img_1785.png,disparity/img_1785.png
1766059932.185091,color/img_1786.png,disparity/img_1786.png
1766059932.327949,color/img_1787.png,disparity/img_1787.png
1766059932.470806,color/img_1788.png,disparity/img_1788.png
