timestamp,x,y,z
1766059917.804765,-3602.015663,-590.298025,-336.791598
1766059917.824765,-3601.195790,-582.883034,-338.080182
1766059917.844765,-3599.919888,-578.533827,-339.097421
1766059917.864765,-3599.244182,-573.022637,-339.913446
1766059917.884765,-3598.835630,-569.111742,-337.182388
1766059917.904766,-3598.326394,-564.095743,-338.464353
1766059917.924766,-3598.359272,-558.997300,-338.340189
1766059917.944766,-3598.296193,-554.204582,-338.459975
1766059917.964766,-3598.473226,-550.936206,-337.697543
1766059917.984766,-3599.261263,-545.372163,-337.674369
1766059918.004766,-3599.706776,-540.934000,-337.250284
1766059918.024765,-3599.976074,-537.555849,-336.553297
1766059918.044765,-3600.214237,-533.313757,-337.421288
1766059918.064765,-3600.979326,-528.089687,-336.609144
1766059918.084765,-3601.411003,-524.547507,-336.742025
1766059918.104765,-3601.401613,-522.775116,-337.863478
1766059918.124765,-3602.422990,-517.212143,-334.724568
1766059918.144766,-3602.904374,-511.579866,-336.397591
1766059918.164766,-3603.800210,-505.584458,-336.620839
1766059918.184766,-3604.617854,-499.902001,-336.682680
1766059918.204766,-3605.723597,-494.217271,-334.343832
1766059918.224766,-3606.705752,-489.235580,-334.969441
1766059918.244766,-3607.488942,-486.417085,-334.184440
1766059918.264766,-3608.893145,-480.879187,-333.361677
1766059918.284765,-3609.965326,-475.726811,-335.406697
1766059918.304765,-3611.098994,-472.160290,-333.124220
1766059918.324765,-3612.925023,-464.338297,-332.981986
1766059918.344765,-3614.107813,-463.452720,-332.363523
1766059918.364765,-3615.813528,-457.798402,-331.270196
1766059918.384765,-3617.046768,-453.745750,-333.166211
1766059918.404766,-3618.749999,-450.292033,-330.348484
1766059918.424766,-3620.819189,-443.918453,-329.982914
1766059918.444766,-3622.335417,-440.542806,-330.209790
1766059918.464766,-3624.544366,-432.237427,-328.253409
1766059918.484766,-3626.244853,-429.451176,-327.447453
1766059918.504766,-3628.027407,-423.330565,-327.978820
1766059918.524765,-3629.365459,-420.124812,-328.430857
1766059918.544765,-3631.062047,-416.044541,-327.764014
1766059918.564765,-3633.353265,-410.318263,-326.655287
1766059918.584765,-3635.179835,-408.103899,-327.618611
1766059918.604765,-3637.799165,-401.731816,-326.094981
1766059918.624765,-3640.270380,-398.027611,-325.852965
1766059918.644766,-3642.468442,-394.972229,-323.779518
1766059918.664766,-3644.969056,-387.671801,-324.352373
1766059918.684766,-3647.134188,-384.308486,-323.687268
1766059918.704766,-3649.467855,-380.606556,-321.890171
1766059918.724766,-3651.389111,-376.517960,-323.491247
1766059918.744766,-3653.741750,-372.222741,-320.549669
1766059918.764766,-3655.962327,-368.090684,-321.452717
1766059918.784765,-3658.533625,-363.578900,-319.438090
1766059918.804765,-3660.749574,-358.126146,-320.527822
1766059918.824765,-3663.417906,-353.142237,-318.698084
1766059918.844765,-3666.051530,-350.227693,-318.437108
1766059918.864765,-3668.728879,-347.035381,-316.564865
1766059918.884765,-3671.279042,-343.748082,-317.008699
1766059918.904766,-3674.157992,-338.408202,-316.471763
1766059918.924766,-3676.841265,-335.521049,-316.071233
1766059918.944766,-3679.729641,-331.318143,-313.976271
1766059918.964766,-3682.616734,-327.154144,-313.627640
1766059918.984766,-3685.704750,-322.797070,-314.234695
1766059919.004766,-3688.578790,-320.218222,-311.463102
1766059919.024765,-3691.243192,-314.686856,-311.525040
1766059919.044765,-3693.641629,-314.161656,-312.080724
1766059919.064765,-3697.263092,-308.727328,-308.713793
1766059919.084765,-3700.523695,-305.475646,-309.014966
1766059919.104765,-3704.137909,-301.014537,-308.715899
1766059919.124765,-3707.846518,-299.237013,-305.996251
1766059919.144766,-3711.287740,-293.633088,-306.495115
1766059919.164766,-3714.672562,-289.774433,-306.487560
1766059919.184766,-3718.126234,-288.505222,-306.071803
1766059919.204766,-3721.804965,-285.175411,-305.786458
1766059919.224766,-3725.353096,-282.295170,-303.381911
1766059919.244766,-3728.848838,-278.573651,-303.644567
1766059919.264766,-3732.347824,-273.301470,-304.130567
1766059919.284765,-3736.177710,-270.274557,-300.444183
1766059919.304765,-3739.966671,-266.578507,-299.287535
1766059919.324765,-3744.146907,-263.106106,-298.575172
1766059919.344765,-3748.017065,-259.680186,-297.740747
1766059919.364765,-3751.735700,-256.905497,-297.616158
1766059919.384765,-3755.829387,-251.626130,-294.517861
1766059919.404766,-3759.780610,-249.616520,-295.559191
1766059919.424766,-3764.078655,-245.270995,-294.909534
1766059919.444766,-3768.273977,-243.616079,-293.009189
1766059919.464766,-3772.298256,-238.232214,-291.994569
1766059919.484766,-3775.866626,-235.801407,-291.673369
1766059919.504766,-3779.814569,-231.338428,-289.247025
1766059919.524765,-3783.695989,-228.315332,-289.112588
1766059919.544765,-3787.842971,-225.040189,-288.797258
1766059919.564765,-3792.128333,-221.575303,-287.659008
1766059919.584765,-3796.424491,-219.052229,-285.346866
1766059919.604765,-3800.844153,-217.011787,-284.072777
1766059919.624765,-3805.172041,-210.729344,-284.274704
1766059919.644766,-3809.150673,-209.575079,-284.819508
1766059919.664766,-3812.976760,-209.239498,-282.588949
1766059919.684766,-3817.094023,-204.722592,-280.913070
1766059919.704766,-3821.366109,-200.736655,-279.403494
1766059919.724766,-3825.339869,-197.463960,-281.829727
1766059919.744766,-3829.837318,-195.534251,-276.741696
1766059919.764766,-3833.750914,-193.599266,-276.387043
1766059919.784765,-3837.886021,-190.540512,-275.996739
1766059919.804765,-3842.402003,-186.358097,-271.427092
1766059919.824765,-3846.412428,-183.164351,-274.578895
1766059919.844765,-3850.569938,-182.677440,-271.909146
1766059919.864765,-3854.715729,-182.125198,-269.727237
1766059919.884765,-3859.084223,-176.830433,-269.909425
1766059919.904766,-3863.520255,-174.160663,-269.696537
1766059919.924766,-3868.469126,-171.292279,-266.365146
1766059919.944766,-3873.104174,-169.321713,-265.078049
1766059919.964766,-3877.558880,-165.076308,-266.902284
1766059919.984766,-3882.284997,-161.407364,-264.292579
1766059920.004766,-3887.074655,-157.189276,-263.167828
1766059920.024765,-3892.274924,-155.594505,-260.067424
1766059920.044765,-3897.922582,-148.007204,-259.382643
1766059920.064765,-3903.880593,-142.472230,-259.477628
1766059920.084765,-3909.634795,-140.391111,-258.415955
1766059920.104765,-3915.256816,-136.398917,-256.704019
1766059920.124765,-3920.370870,-134.118233,-254.404175
1766059920.144766,-3925.266399,-129.746122,-253.688552
1766059920.164766,-3929.853313,-127.182072,-252.776712
1766059920.184766,-3934.683171,-122.076351,-248.942223
1766059920.204766,-3939.307270,-116.261602,-249.424015
1766059920.224766,-3943.605635,-117.412922,-249.421789
1766059920.244766,-3948.187234,-112.567765,-247.820799
1766059920.264766,-3952.799212,-110.761864,-246.821054
1766059920.284765,-3957.349617,-106.005358,-246.861786
1766059920.304765,-3961.888134,-101.129371,-243.987049
1766059920.324765,-3966.217724,-98.554660,-241.418073
1766059920.344765,-3970.202197,-95.001237,-242.341574
1766059920.364765,-3974.381660,-93.242081,-240.324911
1766059920.384765,-3978.640777,-88.891906,-239.485874
1766059920.404766,-3983.361468,-83.152783,-238.420829
1766059920.424766,-3988.144747,-80.594172,-237.723975
1766059920.444766,-3993.503544,-78.051642,-234.201923
1766059920.464766,-3998.770570,-73.697535,-234.468742
1766059920.484766,-4003.909448,-72.407968,-233.415388
1766059920.504766,-4009.178504,-66.458570,-230.484703
1766059920.524765,-4014.211202,-62.895315,-231.062891
1766059920.544765,-4019.430680,-59.520676,-229.187424
1766059920.564765,-4024.766635,-53.138857,-228.599191
1766059920.584765,-4030.040542,-52.239124,-225.632405
1766059920.604765,-4034.995308,-48.257029,-226.322256
1766059920.624765,-4039.836150,-43.516527,-223.901605
1766059920.644766,-4044.766932,-38.942215,-221.737234
1766059920.664766,-4049.483317,-35.213232,-222.016886
1766059920.684766,-4053.921562,-33.043588,-220.700570
1766059920.704766,-4057.658449,-25.732051,-220.195342
1766059920.724766,-4060.685958,-24.897073,-220.410883
1766059920.744766,-4063.362665,-20.050977,-218.957665
1766059920.764766,-4065.859882,-18.232516,-218.338176
1766059920.784765,-4068.711926,-15.112406,-217.186988
1766059920.804765,-4072.086224,-9.644595,-216.999932
1766059920.824765,-4075.847314,-7.282031,-215.402388
1766059920.844765,-4079.885659,-2.739413,-213.721218
1766059920.864765,-4084.018876,-0.585751,-212.662575
1766059920.884765,-4087.822384,4.249380,-212.037188
1766059920.904766,-4091.207434,10.831565,-214.082723
